Image,Target Image,Similarity
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (1).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,54.174184799194336
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (10).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,39.76377844810486
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (100).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,21.090219914913177
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (101).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,26.24196708202362
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (102).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,26.369407773017883
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (103).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,32.79324769973755
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (104).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,25.41051208972931
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (105).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,24.741311371326447
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (106).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,30.730509757995605
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (107).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,38.537102937698364
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (108).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,42.41848886013031
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (109).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,33.444565534591675
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (11).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,56.09118938446045
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (110).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,31.436002254486084
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (111).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,31.673908233642578
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (112).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,34.829553961753845
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (113).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,40.89944064617157
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (114).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,33.72286856174469
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (115).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,69.87696290016174
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (116).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,36.79008185863495
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (117).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,55.990201234817505
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (118).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,40.78421592712402
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (119).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,30.65735101699829
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (12).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,49.608832597732544
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (120).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,42.1179860830307
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (121).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,58.75839591026306
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (122).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,51.35651230812073
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (123).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,53.02360653877258
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (124).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,46.270689368247986
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (125).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,50.63984394073486
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (126).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,49.47032630443573
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (127).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,62.00926899909973
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (128).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,59.83758568763733
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (129).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,52.49354839324951
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (13).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,43.203458189964294
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (130).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,44.830915331840515
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (131).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,49.39637780189514
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (132).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,54.175353050231934
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (133).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,42.167845368385315
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (134).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,49.430349469184875
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (135).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,44.877880811691284
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (136).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,44.354432821273804
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (137).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,76.02785229682922
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (138).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,42.7907794713974
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (139).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,70.35459280014038
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (14).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,37.97580301761627
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (140).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,46.577298641204834
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (141).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,61.651891469955444
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (142).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,52.17471122741699
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (143).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,53.81826162338257
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (144).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,45.87606191635132
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (145).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,44.805142283439636
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (146).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,34.43440496921539
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (147).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,63.990914821624756
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (148).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,43.892112374305725
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (149).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,42.1686977148056
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (15).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,37.13459372520447
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (150).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,48.77497851848602
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (151).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,40.84085524082184
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (152).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,48.23854863643646
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (153).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,42.01403558254242
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (154).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,31.537902355194092
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (155).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,47.722822427749634
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (156).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,70.65576910972595
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (157).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,41.89918637275696
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (158).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,53.46184968948364
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (159).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,34.1776967048645
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (16).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,43.34017634391785
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (160).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,48.60840141773224
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (161).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,45.80591022968292
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (162).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,45.188069343566895
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (163).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,45.77309489250183
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (164).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,69.34059262275696
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (165).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,63.82250189781189
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (166).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,30.572938919067383
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (167).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,35.09640395641327
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (168).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,43.72014105319977
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (169).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,65.01467227935791
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (17).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,49.19658899307251
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (170).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,37.87110447883606
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (171).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,54.3440580368042
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (172).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,44.693559408187866
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (173).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,49.491265416145325
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (174).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,42.22835898399353
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (175).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,55.009204149246216
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (176).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,54.65662479400635
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (177).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,57.13534355163574
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (178).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,58.168959617614746
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (179).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,33.658602833747864
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (18).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,48.19793701171875
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (180).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,48.26464056968689
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (181).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,54.38627004623413
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (182).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,47.3018616437912
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (183).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,60.715484619140625
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (184).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,41.121694445610046
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (185).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,37.626710534095764
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (186).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,42.7653431892395
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (187).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,45.98628580570221
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (188).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,59.0349018573761
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (189).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,19.068337976932526
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (19).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,55.37736415863037
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (190).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,16.79915338754654
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (191).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,25.25191307067871
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (192).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,27.083835005760193
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (193).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,57.66677260398865
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (194).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,36.43107712268829
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (195).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,37.76620626449585
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (196).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,57.65475630760193
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (197).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,38.26240003108978
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (198).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,37.1900349855423
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (199).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,21.368512511253357
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (2).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,30.41861355304718
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (20).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,35.159435868263245
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (200).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,39.29932415485382
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (201).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,41.94945991039276
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (202).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,35.69149374961853
